,missed states
0,Arkansas
1,Florida
2,Hawaii
3,Illinois
4,Indiana
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,Nevada
17,New Hampshire
18,New Jersey
19,New Mexico
20,North Carolina
21,North Dakota
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
